Country	Type	Mountain	Latitude	Longitude	Elevation	Error
India	Mountain	Kakkir Malai Mountain	??????	??????	1015 m	NonNumericLatitude
Italy	Mountain	Cimon della Pala    46.287224	11.820728	3185 m	IncorrectNumberOfColumns
Australia	Mountain	Black Johnnys Tier	-42.043811	146.954842 1082 m	IncorrectNumberOfColumns
Australia	Mountain	Smith's Hill	??????	??????	67 m	NonNumericLatitude
Australia	Mountain	Mount Tunbubudla West	-26.963235 152.901278	294 m	IncorrectNumberOfColumns
Australia    Mountain	Lowes Mount	-33.619265	149.834375	1150 m	IncorrectNumberOfColumns
Australia	Mountain	Mount Lockyer	-22.457122	118.772936 1005 m	IncorrectNumberOfColumns
Australia	Mountain	Mount Barnett	-16.750879	125.939541 540 m	IncorrectNumberOfColumns
Australia	Mountain	Mount Nicolay    -27.110020	116.359463	358 m	IncorrectNumberOfColumns
Australia	Mountain	Prominent Hill	-26419	121.482439	546 m	InvalidLatitude
Australia	Mountain	Teedermully Hill	-32.786553	116.612492	390 ??	InvalidElevationUnit
Australia	Mountain	Blue Hill    -29.590923	119.574766	402 m	IncorrectNumberOfColumns
Australia	Mountain	Low Trap Hills	-31.062492	122.405720	366		IncorrectNumberOfColumns
Australia	Mountain	Haast Bluff	-23.364871	132010	1118 m	InvalidLongitude
Australia	Mountain	McDonald Peak	-28.254342	134.751005	???? m	NonNumericElevation
Australia	Mountain	Davis Hill    -20.932583	140.615988	385 m	IncorrectNumberOfColumns
Australia	Mountain	Mount Fitz    -22.459264	150.261297	279 m	IncorrectNumberOfColumns
Australia	Mountain	Mount Calder	-24.960382	145.062876	383		IncorrectNumberOfColumns
Australia    Mountain	Mount Shanahan	-30.032244	139.500532	364 m	IncorrectNumberOfColumns
Australia	Mountain	Mount Oliphant    -30.293461	139.325953	624 m	IncorrectNumberOfColumns
Australia	Mountain	Windamerta Hill	-31.931987	139.831066	381		IncorrectNumberOfColumns
Australia	Mountain	Mount Intrepid	-28.741548 142.103176	205 m	IncorrectNumberOfColumns
Australia	Mountain	Mount Birkhead	-24.445665	146.297207	626 ??	InvalidElevationUnit
Australia	Mountain    Mount Walpanara	-27.135077	149.124813	283 m	IncorrectNumberOfColumns
Australia	Mountain	Sulcor Mountain	-30.843731	150.812244	693 ??	InvalidElevationUnit
Australia	Mountain	Byong Hills	-33.069750	147657	345 m	InvalidLongitude
Australia	Mountain    Red Hill	-32.720360	151.376238	203 m	IncorrectNumberOfColumns
Australia	Mountain	Round Mountain	-28.333471	153.551445	???? m	NonNumericElevation
Australia	Mountain	Mount Lookout	-30.485885 152.931576	236 m	IncorrectNumberOfColumns
Australia	Mountain	Tinebank Mountain	-31.199441	152521	957 m	InvalidLongitude
Australia	Mountain	The Mound	-37.312154	145.020390 458 m	IncorrectNumberOfColumns
Australia	Mountain	Mount Kosciuszko	-36.455877	148.263330	???? m	NonNumericElevation
Australia	Mountain	Mount Hump	-37629	146.783867	1238 m	InvalidLatitude
Australia	Mountain	Five Mile Peak	-38.970887	146.384668	560 ??	InvalidElevationUnit
Australia	Mountain	Snowy North	-42.861118	146.645765	???? m	NonNumericElevation
Australia    Mountain	Mount Dempsey	-15.862361	130.470715	264 m	IncorrectNumberOfColumns
Australia	Mountain	Mount Gosse	-15.542180	131503	251 m	InvalidLongitude
Australia	Mountain	Yardiacco Hill	-28.754191	118.313913 459 m	IncorrectNumberOfColumns
Austria    Mountain	Kapall	47.148606	10.248999	2315 m	IncorrectNumberOfColumns
Austria	Mountain    Keeskogel	47.136328	12.311784	3291 m	IncorrectNumberOfColumns
Austria	Mountain	Rinnkogel	47.666742	13.485926 1823 m	IncorrectNumberOfColumns
Malawi    Mountain	Kabondwe	-11.632274	33.541038	1370 m	IncorrectNumberOfColumns
Malawi	Mountain	Chimphako	??????	??????	1220 m	NonNumericLatitude
Malawi	Mountain	Mateska	-16.936602	35.172428 953 m	IncorrectNumberOfColumns
Lesotho	Mountain	Thaba Putsua	-30349	28.033985	2908 m	InvalidLatitude
Malawi    Mountain	Nakasindagombwe	-9.662151	33.316947	1348 m	IncorrectNumberOfColumns
Mozambique	Mountain	Camuala	-14.807983	32.183669	1104 ??	InvalidElevationUnit
Mozambique	Mountain	Muijeleveti	-12.707444	35.878231	???? m	NonNumericElevation
Mozambique	Mountain	Namocolue	-13.628042	37.767223 556 m	IncorrectNumberOfColumns
Mozambique	Mountain    Niuapa	-13.156035	38.390286	623 m	IncorrectNumberOfColumns
Mozambique	Mountain	Tava	-12.723603	39.259216	???? m	NonNumericElevation
Mozambique	Mountain	Tecapuaro	-13.985292 39.268144	456 m	IncorrectNumberOfColumns
Mozambique	Mountain	Lipembe	-16.288878	35.708239	???? m	NonNumericElevation
Mozambique    Mountain	Comane	-16.194331	36.599735	939 m	IncorrectNumberOfColumns
Mozambique	Mountain	Tipui	-13866	39.402200	458 m	InvalidLatitude
Mozambique	Mountain	Ecopo	??????	??????	431 m	NonNumericLatitude
Mozambique	Mountain	Cheovi	-13.835354	39.853813	730		IncorrectNumberOfColumns
Mozambique	Mountain	Nahomo	-13.969414	39.954040 376 m	IncorrectNumberOfColumns
Mozambique	Mountain	Silivala	-13709	40.377086	264 m	InvalidLatitude
Mozambique	Mountain	Nacoma	??????	??????	211 m	NonNumericLatitude
Mozambique	Mountain	Nango	-17.416771 34.200170	378 m	IncorrectNumberOfColumns
Norway    Mountain	Jiehkkevárri	69.469243	19.877617	1834 m	IncorrectNumberOfColumns
Peru	Mountain	Nevado Jonorane	-14.081996 -70.770504	5553 m	IncorrectNumberOfColumns
New Zealand	Mountain	Mount Gifford Third Peak    -44.728700	168.061924	2081 m	IncorrectNumberOfColumns
New Zealand	Mountain	Ngarangipukahu	-35.512645	173.566958 718 m	IncorrectNumberOfColumns
New Zealand	Mountain	Rotopaunga	??????	??????	1856 m	NonNumericLatitude
New Zealand	Mountain	Te Koikoi    -38.515959	176.810436	864 m	IncorrectNumberOfColumns
New Zealand	Mountain	Taharewaewae    -38.786516	176.968982	1013 m	IncorrectNumberOfColumns
New Zealand    Mountain	Mount Gorgeous	-41.449086	172.250825	1261 m	IncorrectNumberOfColumns
New Zealand	Mountain	Mount Argelin	-41.809368	173.572157	???? m	NonNumericElevation
New Zealand	Mountain	Meteor Peak	-43.515784	170.234158 2624 m	IncorrectNumberOfColumns
New Zealand	Mountain	Aiguilles Rouges	-43.577512	170.291729	2950 ??	InvalidElevationUnit
New Zealand	Mountain	Ferintosh Peak	??????	??????	2497 m	NonNumericLatitude
New Zealand	Mountain	Chest Peak	-43.103225	172.020258 1936 m	IncorrectNumberOfColumns
New Zealand    Mountain	Mount Barton	-41.556870	175.317244	889 m	IncorrectNumberOfColumns
